Date;Valeur (GW)
01/01/2023;33,4223
02/01/2023;40,42222
03/01/2023;41,98074
04/01/2023;41,97864
05/01/2023;42,76633
06/01/2023;42,93208
07/01/2023;43,10599
08/01/2023;40,70455
09/01/2023;44,13726
10/01/2023;44,87871
11/01/2023;45,00725
12/01/2023;44,02245
13/01/2023;44,086
14/01/2023;42,03759
15/01/2023;40,92603
16/01/2023;44,12546
17/01/2023;44,091
18/01/2023;43,46832
19/01/2023;40,05547
20/01/2023;42,26162
21/01/2023;42,366
22/01/2023;42,97058
23/01/2023;43,301
24/01/2023;43,301
25/01/2023;43,28033
26/01/2023;44,05399
27/01/2023;44,0395
28/01/2023;44,52042
29/01/2023;44,14238
30/01/2023;43,09401
31/01/2023;43,08036
01/02/2023;44,15429
02/02/2023;45,08125
03/02/2023;46,09117
04/02/2023;46,15375
05/02/2023;45,94512
06/02/2023;45,24275
07/02/2023;43,70809
08/02/2023;45,62333
09/02/2023;45,86167
10/02/2023;46,6125
11/02/2023;45,40646
12/02/2023;45,02817
13/02/2023;44,91875
14/02/2023;45,05292
15/02/2023;44,56241
16/02/2023;43,34975
17/02/2023;44,04625
18/02/2023;42,76854
19/02/2023;42,12292
20/02/2023;41,93562
21/02/2023;41,95
22/02/2023;42,28084
23/02/2023;42,30633
24/02/2023;42,14584
25/02/2023;39,98354
26/02/2023;39,07521
27/02/2023;39,57292
28/02/2023;39,615
01/03/2023;39,461
02/03/2023;39,615
03/03/2023;38,86105
04/03/2023;34,90184
05/03/2023;34,32417
06/03/2023;35,50026
07/03/2023;37,153
08/03/2023;36,62384
09/03/2023;35,85394
10/03/2023;34,21691
11/03/2023;36,80593
12/03/2023;33,75032
13/03/2023;32,99651
14/03/2023;35,37646
15/03/2023;37,35417
16/03/2023;37,06788
17/03/2023;36,88142
18/03/2023;35,72595
19/03/2023;34,4199
20/03/2023;34,95938
21/03/2023;36,73313
22/03/2023;36,61937
23/03/2023;35,71395
24/03/2023;36,11167
25/03/2023;35,57137
26/03/2023;36,18979
27/03/2023;34,80917
28/03/2023;35,50563
29/03/2023;36,26958
30/03/2023;36,54742
31/03/2023;35,63029
01/04/2023;36,605
02/04/2023;36,64208
03/04/2023;37,13541
04/04/2023;38,56679
05/04/2023;38,14746
06/04/2023;37,70751
07/04/2023;37,12125
08/04/2023;36,03821
09/04/2023;35,23225
10/04/2023;34,08937
11/04/2023;34,8045
12/04/2023;34,29679
13/04/2023;35,13708
14/04/2023;36,0975
15/04/2023;34,93
16/04/2023;34,80458
17/04/2023;35,13163
18/04/2023;35,47604
19/04/2023;35,86916
20/04/2023;36,05938
21/04/2023;35,9355
22/04/2023;36,058
23/04/2023;35,30813
24/04/2023;36,364
25/04/2023;36,80971
26/04/2023;37,27209
27/04/2023;38,95145
28/04/2023;38,79679
29/04/2023;38,13362
30/04/2023;37,26488
01/05/2023;38,12425
02/05/2023;37,483
03/05/2023;37,44933
04/05/2023;37,41333
05/05/2023;36,989
06/05/2023;35,75
07/05/2023;35,68
08/05/2023;35,94508
09/05/2023;35,96992
10/05/2023;35,78033
11/05/2023;36,17492
12/05/2023;36,52742
13/05/2023;34,722
14/05/2023;35,47387
15/05/2023;37,05283
16/05/2023;37,00575
17/05/2023;36,88992
18/05/2023;36,97696
19/05/2023;37,27559
20/05/2023;35,54566
21/05/2023;35,63778
22/05/2023;36,41229
23/05/2023;37,40717
24/05/2023;36,77708
25/05/2023;35,96916
26/05/2023;35,56417
27/05/2023;32,27917
28/05/2023;32,73145
29/05/2023;33,51062
30/05/2023;33,60542
31/05/2023;33,89666
01/06/2023;33,73
02/06/2023;33,375
03/06/2023;32,38625
04/06/2023;32,15416
05/06/2023;32,4
06/06/2023;32,4
07/06/2023;32,4
08/06/2023;31,79167
09/06/2023;31,73916
10/06/2023;31,63604
11/06/2023;31,68334
12/06/2023;33,02083
13/06/2023;31,915
14/06/2023;32,16563
15/06/2023;32,11667
16/06/2023;32,44313
17/06/2023;32,32762
18/06/2023;31,97287
19/06/2023;32,31726
20/06/2023;33,09042
21/06/2023;35,22187
