Date,Open,High,Low,Close,Volume,Change
2023-12-29,32,33,34,31,0,-2
2023-12-29,32,33,34,31,0,-2
2023-12-29,32,33,34,31,0,-2
2023-12-28,33,34,34,34,1,-6
2023-12-27,35,36,36,35,0,3
2023-12-26,34,34,34,34,0,0
2023-12-22,34,34,34,33,0,0
2023-12-22,34,34,34,33,0,0
2023-12-22,34,34,34,33,0,0
2023-12-22,34,34,34,33,0,0
2023-12-21,34,34,36,33,0,2
2023-12-20,33,34,34,32,0,2
2023-12-19,32,34,34,32,0,-8
2023-12-18,35,33,37,32,2,7
2023-12-15,33,33,34,33,0,-4
2023-12-15,33,33,34,33,0,-4
2023-12-15,33,33,34,33,0,-4
2023-12-14,34,36,36,34,0,-2
2023-12-13,35,34,36,34,2,3
2023-12-12,34,36,36,34,0,-3
2023-12-11,36,36,37,35,1,-6
2023-12-08,38,41,41,38,0,-3
2023-12-08,38,41,41,38,0,-3
2023-12-08,38,41,41,38,0,-3
2023-12-07,39,39,40,39,0,1
2023-12-06,39,38,39,38,1,3
2023-12-05,38,39,39,37,2,-4
2023-12-04,40,41,41,39,0,-7
2023-12-01,43,42,44,41,1,3
2023-12-01,43,42,44,41,1,3
2023-12-01,43,42,44,41,1,3
2023-11-30,42,40,43,40,1,4
2023-11-29,40,41,41,39,0,-5
2023-11-28,42,44,44,42,4,-2
2023-11-27,43,45,45,43,1,-5
2023-11-24,46,46,47,44,0,4
2023-11-24,46,46,47,44,0,4
2023-11-24,46,46,47,44,0,4
2023-11-22,44,44,45,43,0,1
2023-11-22,44,44,45,43,0,1
2023-11-21,44,46,46,43,1,-3
2023-11-20,45,47,47,45,0,1
2023-11-17,45,46,46,44,0,-1
2023-11-17,45,46,46,44,0,-1
2023-11-17,45,46,46,44,0,-1
2023-11-16,45,46,47,45,0,-2
2023-11-15,47,48,49,46,0,-1
2023-11-14,47,46,48,46,1,0
2023-11-13,47,45,47,44,0,2
2023-11-10,46,47,47,45,0,-3
2023-11-10,46,47,47,45,0,-3
2023-11-10,46,47,47,45,0,-3
2023-11-09,48,45,49,45,1,5
2023-11-08,45,45,46,45,0,0
2023-11-07,46,45,47,45,2,2
2023-11-06,44,47,47,44,2,-6
2023-11-03,48,49,50,46,2,-1
2023-11-03,48,49,50,46,2,-1
2023-11-03,48,49,50,46,2,-1
2023-11-02,48,48,49,46,2,1
2023-11-01,47,46,48,46,3,0
2023-10-31,48,51,51,47,2,-5
2023-10-30,50,54,54,50,0,0
2023-10-27,50,51,51,49,0,0
2023-10-27,50,51,51,49,0,0
2023-10-27,50,51,51,49,0,0
2023-10-26,50,51,52,49,2,1
2023-10-25,49,50,51,48,0,1
2023-10-24,49,50,53,48,2,-3
2023-10-23,51,48,51,48,0,0
2023-10-20,51,52,52,49,1,1
2023-10-20,51,52,52,49,1,1
2023-10-20,51,52,52,49,1,1
