Heure,Hydro Run-of-river and poundage,Solar,Waste,Wind Onshore
2023-01-01 00:00:00+01:00,4833,0,133,14137
2023-01-01 01:00:00+01:00,4849,0,135,11777
2023-01-01 02:00:00+01:00,4853,0,136,11437
2023-01-01 03:00:00+01:00,4715,0,136,11087
2023-01-01 04:00:00+01:00,4571,0,136,10718
2023-01-01 05:00:00+01:00,4524,0,138,10130
2023-01-01 06:00:00+01:00,4615,0,136,9717
2023-01-01 07:00:00+01:00,4620,0,133,9697
2023-01-01 08:00:00+01:00,4649,271,132,9141
2023-01-01 09:00:00+01:00,4673,867,132,10077
2023-01-01 10:00:00+01:00,4649,1962,131,9694
2023-01-01 11:00:00+01:00,4591,2858,128,9151
2023-01-01 12:00:00+01:00,4524,3349,124,8050
2023-01-01 13:00:00+01:00,4578,3131,123,7484
2023-01-01 14:00:00+01:00,4773,2394,122,7309
2023-01-01 15:00:00+01:00,4797,1460,119,7442
2023-01-01 16:00:00+01:00,4926,548,114,8058
2023-01-01 17:00:00+01:00,5323,206,113,9553
2023-01-01 18:00:00+01:00,5501,189,117,11352
2023-01-01 19:00:00+01:00,5616,0,114,12274
2023-01-01 20:00:00+01:00,5442,0,119,12555
2023-01-01 21:00:00+01:00,5087,0,117,12303
2023-01-01 22:00:00+01:00,4965,0,122,11955
2023-01-01 23:00:00+01:00,4828,0,125,11448
2023-01-02 00:00:00+01:00,4641,0,124,10994
2023-01-02 01:00:00+01:00,4589,0,125,10402
2023-01-02 02:00:00+01:00,4624,0,125,9985
2023-01-02 03:00:00+01:00,4501,0,123,9358
2023-01-02 04:00:00+01:00,4380,0,125,8449
2023-01-02 05:00:00+01:00,4403,0,123,7235
2023-01-02 06:00:00+01:00,4629,0,122,6562
2023-01-02 07:00:00+01:00,5076,0,121,6209
2023-01-02 08:00:00+01:00,5566,246,123,5625
2023-01-02 09:00:00+01:00,5469,555,123,5320
2023-01-02 10:00:00+01:00,5458,1302,120,4972
2023-01-02 11:00:00+01:00,5408,2033,119,4890
2023-01-02 12:00:00+01:00,5142,2589,114,5185
2023-01-02 13:00:00+01:00,5006,2735,112,5635
2023-01-02 14:00:00+01:00,5003,2199,107,5677
2023-01-02 15:00:00+01:00,5084,1341,114,5306
2023-01-02 16:00:00+01:00,5273,535,119,4677
2023-01-02 17:00:00+01:00,5713,204,118,4244
2023-01-02 18:00:00+01:00,6101,182,120,4206
2023-01-02 19:00:00+01:00,6011,0,117,4417
2023-01-02 20:00:00+01:00,5780,0,119,4312
2023-01-02 21:00:00+01:00,5582,0,118,4116
2023-01-02 22:00:00+01:00,5433,0,118,3937
2023-01-02 23:00:00+01:00,5206,0,119,3902
2023-01-03 00:00:00+01:00,4913,0,118,3838
2023-01-03 01:00:00+01:00,4858,0,121,4094
2023-01-03 02:00:00+01:00,4813,0,119,4244
2023-01-03 03:00:00+01:00,4628,0,120,4397
2023-01-03 04:00:00+01:00,4643,0,119,4499
2023-01-03 05:00:00+01:00,4790,0,117,4459
2023-01-03 06:00:00+01:00,5190,0,113,4584
2023-01-03 07:00:00+01:00,5741,0,111,4893
2023-01-03 08:00:00+01:00,6139,257,108,5167
2023-01-03 09:00:00+01:00,6310,785,110,5129
2023-01-03 10:00:00+01:00,6188,2089,110,5111
2023-01-03 11:00:00+01:00,6066,3502,113,5177
2023-01-03 12:00:00+01:00,5829,4158,120,5571
2023-01-03 13:00:00+01:00,5721,4096,128,6035
2023-01-03 14:00:00+01:00,5723,3356,133,6636
2023-01-03 15:00:00+01:00,5810,2199,133,7084
2023-01-03 16:00:00+01:00,5849,858,135,7504
2023-01-03 17:00:00+01:00,5830,224,130,8122
2023-01-03 18:00:00+01:00,6092,194,141,9191
2023-01-03 19:00:00+01:00,5968,0,132,10344
2023-01-03 20:00:00+01:00,5631,0,131,11138
2023-01-03 21:00:00+01:00,5489,0,130,11696
2023-01-03 22:00:00+01:00,5278,0,130,11803
2023-01-03 23:00:00+01:00,4872,0,133,12100
2023-01-04 00:00:00+01:00,4673,0,135,12424
2023-01-04 01:00:00+01:00,4383,0,132,12758
2023-01-04 02:00:00+01:00,4279,0,134,12900
2023-01-04 03:00:00+01:00,4198,0,135,12889
2023-01-04 04:00:00+01:00,4190,0,134,13068
2023-01-04 05:00:00+01:00,4161,0,133,13071
2023-01-04 06:00:00+01:00,4336,0,129,13133
2023-01-04 07:00:00+01:00,4716,0,128,13579
2023-01-04 08:00:00+01:00,5250,312,126,13632
2023-01-04 09:00:00+01:00,5230,1075,128,13637
2023-01-04 10:00:00+01:00,5185,2606,127,13613
2023-01-04 11:00:00+01:00,4936,3781,127,13537
2023-01-04 12:00:00+01:00,4683,4104,129,13520
2023-01-04 13:00:00+01:00,4501,4055,130,13559
2023-01-04 14:00:00+01:00,4425,3339,132,13544
2023-01-04 15:00:00+01:00,4415,2066,129,13502
2023-01-04 16:00:00+01:00,4655,790,129,13302
2023-01-04 17:00:00+01:00,5119,230,130,13004
2023-01-04 18:00:00+01:00,5557,196,129,12637
2023-01-04 19:00:00+01:00,5582,0,131,12158
2023-01-04 20:00:00+01:00,5256,0,134,12064
2023-01-04 21:00:00+01:00,4846,0,136,12329
2023-01-04 22:00:00+01:00,4584,0,134,11946
2023-01-04 23:00:00+01:00,4446,0,137,11520
2023-01-05 00:00:00+01:00,4113,0,136,11065
2023-01-05 01:00:00+01:00,3793,0,137,10443
2023-01-05 02:00:00+01:00,3587,0,137,9841
2023-01-05 03:00:00+01:00,3552,0,136,9182
2023-01-05 04:00:00+01:00,3549,0,136,8608
2023-01-05 05:00:00+01:00,3634,0,137,7867
2023-01-05 06:00:00+01:00,4084,0,134,7162
2023-01-05 07:00:00+01:00,4605,0,133,6608
2023-01-05 08:00:00+01:00,4903,298,135,5728
2023-01-05 09:00:00+01:00,5085,1033,124,4758
2023-01-05 10:00:00+01:00,5183,2403,122,4220
2023-01-05 11:00:00+01:00,5361,3456,125,4192
2023-01-05 12:00:00+01:00,5245,3917,124,4500
2023-01-05 13:00:00+01:00,5154,3850,125,4823
2023-01-05 14:00:00+01:00,5114,3303,123,4750
2023-01-05 15:00:00+01:00,5118,2112,127,4814
2023-01-05 16:00:00+01:00,5308,781,127,4655
2023-01-05 17:00:00+01:00,5855,220,126,4646
2023-01-05 18:00:00+01:00,6174,187,127,5059
2023-01-05 19:00:00+01:00,5948,0,126,5313
2023-01-05 20:00:00+01:00,5655,0,131,5311
2023-01-05 21:00:00+01:00,5432,0,129,5501
2023-01-05 22:00:00+01:00,5300,0,130,5383
2023-01-05 23:00:00+01:00,5214,0,134,5770
2023-01-06 00:00:00+01:00,4641,0,131,6114
2023-01-06 01:00:00+01:00,4299,0,133,6497
2023-01-06 02:00:00+01:00,4037,0,134,6675
2023-01-06 03:00:00+01:00,3955,0,135,6831
2023-01-06 04:00:00+01:00,3915,0,137,7027
2023-01-06 05:00:00+01:00,3977,0,139,7057
2023-01-06 06:00:00+01:00,4220,0,138,6892
2023-01-06 07:00:00+01:00,4541,0,134,6845
2023-01-06 08:00:00+01:00,5032,304,135,6605
2023-01-06 09:00:00+01:00,5267,974,134,6197
2023-01-06 10:00:00+01:00,5478,2280,133,6073
2023-01-06 11:00:00+01:00,5537,3418,121,6103
2023-01-06 12:00:00+01:00,5350,3962,122,6105
2023-01-06 13:00:00+01:00,5037,3876,127,6093
2023-01-06 14:00:00+01:00,4936,3094,130,5758
2023-01-06 15:00:00+01:00,4865,2048,132,5639
